epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,149.543,0.98585,0.6352,1.07537,0.96395,0.99306,0.99194,0.7059,0.88912,0.48263,1.08769,0.000396265,0.000396265,0.000396265
43,153.059,0.94193,0.61911,1.04125,0.97893,0.99126,0.99402,0.7852,0.74123,0.4317,1.00084,0.000389661,0.000389661,0.000389661
44,156.575,0.91097,0.60889,1.05239,0.95976,0.99495,0.99282,0.70622,0.82,0.47919,1.06296,0.000383058,0.000383058,0.000383058
45,160.092,0.91741,0.61365,1.06762,0.96262,0.99442,0.99112,0.81193,0.62582,0.40423,0.97543,0.000376455,0.000376455,0.000376455
46,163.642,0.90898,0.60141,1.04231,0.97699,0.99261,0.99416,0.79469,0.62965,0.41757,0.96435,0.000369851,0.000369851,0.000369851
47,167.324,0.92073,0.60945,1.0359,0.96688,0.99639,0.99157,0.77645,0.66127,0.40974,0.99319,0.000363248,0.000363248,0.000363248
48,170.889,0.94259,0.60492,1.06106,0.95366,0.99601,0.99274,0.78681,0.64703,0.4239,0.96952,0.000356645,0.000356645,0.000356645
49,174.405,0.89471,0.60428,1.03812,0.95802,0.9896,0.99239,0.77686,0.77456,0.44064,1.02541,0.000350042,0.000350042,0.000350042
50,177.875,0.9045,0.60242,1.0477,0.96948,0.99002,0.99172,0.76335,0.68108,0.40216,0.95434,0.000343438,0.000343438,0.000343438
51,181.389,0.90499,0.58499,1.03926,0.97646,0.98849,0.99241,0.76567,0.66181,0.41715,0.96555,0.000336835,0.000336835,0.000336835
52,184.881,0.92339,0.58741,1.03146,0.97923,0.98689,0.99032,0.73566,0.78222,0.42738,1.01254,0.000330232,0.000330232,0.000330232
53,188.375,0.89545,0.58559,1.03657,0.98127,0.98846,0.99355,0.78543,0.74605,0.41962,0.98583,0.000323628,0.000323628,0.000323628
54,191.892,0.9215,0.58068,1.03395,0.97565,0.98918,0.99162,0.65313,0.80525,0.41321,0.99768,0.000317025,0.000317025,0.000317025
55,195.372,0.91244,0.59159,1.03844,0.98334,0.99242,0.99214,0.74632,0.68449,0.40667,0.96675,0.000310422,0.000310422,0.000310422
56,198.849,0.87676,0.57024,1.01971,0.97427,0.99247,0.99215,0.7707,0.72156,0.40321,1.01499,0.000303818,0.000303818,0.000303818
57,202.316,0.86852,0.56654,1.02172,0.95955,0.99621,0.99173,0.78557,0.65061,0.39873,0.98868,0.000297215,0.000297215,0.000297215
58,205.84,0.89786,0.59374,1.04132,0.97055,0.99242,0.9931,0.79865,0.63171,0.3929,0.96336,0.000290612,0.000290612,0.000290612
59,209.425,0.88392,0.56198,1.03028,0.98191,0.98997,0.99387,0.79664,0.69612,0.4086,0.98392,0.000284009,0.000284009,0.000284009
60,212.906,0.83496,0.55387,1.02196,0.96855,0.99242,0.99111,0.77279,0.69852,0.40098,0.9696,0.000277405,0.000277405,0.000277405
61,216.45,0.86564,0.55953,1.02598,0.97391,0.98836,0.99169,0.79465,0.64211,0.37798,0.94791,0.000270802,0.000270802,0.000270802
62,220.096,0.87374,0.56005,1.02672,0.98027,0.99369,0.99275,0.77615,0.68999,0.3892,0.95268,0.000264199,0.000264199,0.000264199
63,223.605,0.88196,0.5635,1.03608,0.97407,0.99102,0.99267,0.72341,0.69678,0.39107,0.97352,0.000257595,0.000257595,0.000257595
64,227.087,0.87731,0.55475,1.02654,0.97069,0.99627,0.99347,0.80547,0.59171,0.37307,0.95648,0.000250992,0.000250992,0.000250992
65,230.633,0.83778,0.54153,1.01855,0.97203,0.99116,0.99315,0.77455,0.64403,0.38267,0.94375,0.000244389,0.000244389,0.000244389
